Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Drib_Tkl,Drib_Att,Drib_Tkl%,Drib_Past,Press,Press_Succ,Press_%,Press_Def 3rd,Press_Mid 3rd,Press_Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,34.8,1.12,0.69,0.43,0.40,0.29,0.34,1.44,24.0,1.09,16.5,3.74,22.7,3.25,7.36,5.86,1.70,0.06,0.00,1.64,0.26,1.38,0.46,0.00,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,30.0,3.27,1.83,2.20,0.87,0.20,1.07,2.03,52.5,0.97,17.4,5.10,29.4,8.80,6.17,2.40,1.93,0.23,0.00,1.70,0.97,4.23,3.50,0.03,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,35.0,1.54,0.83,0.46,0.60,0.49,0.43,1.29,33.3,0.86,29.1,6.26,21.5,5.11,14.7,9.29,1.00,0.17,0.00,0.83,0.40,1.94,0.57,0.00,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,35.9,2.84,1.70,1.39,1.06,0.39,1.03,2.06,50.0,1.03,15.8,5.18,32.7,6.96,6.16,2.70,2.26,0.56,0.00,1.70,1.09,3.93,4.07,0.00,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.0,0.59,10.0,2.35,23.5,5.88,4.12,0.00,1.76,1.76,0.00,0.00,1.18,1.18,4.12,0.00,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,4.5,2.22,1.33,1.56,0.44,0.22,0.44,1.56,28.6,1.11,11.3,3.11,27.5,6.22,2.22,2.89,2.44,0.44,0.00,2.00,0.44,2.67,2.67,0.00,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13.1,1.37,0.84,1.07,0.23,0.08,0.46,1.98,23.1,1.53,8.85,3.05,34.5,6.95,1.68,0.23,2.06,0.53,0.00,1.53,1.15,2.52,7.10,0.08,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,38.0,1.92,1.18,1.13,0.45,0.34,0.63,1.26,50.0,0.63,14.8,4.13,27.9,6.42,5.47,2.92,1.66,0.13,0.00,1.53,0.79,2.71,2.29,0.08,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,21.0,2.62,1.57,1.00,1.19,0.43,0.86,1.57,54.5,0.71,11.1,3.10,27.8,4.81,5.29,1.05,2.05,0.57,0.05,1.48,0.71,3.33,4.19,0.00,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,12.3,1.30,0.89,0.49,0.65,0.16,0.33,1.38,23.5,1.06,13.7,3.90,28.6,1.30,7.97,4.39,0.89,0.24,0.08,0.65,0.49,1.79,0.98,0.00,Matches
36,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,29,1989,15.0,0.40,0.27,0.07,0.20,0.13,0.13,0.87,15.4,0.73,18.3,4.20,22.9,1.33,8.20,8.80,1.13,0.27,0.00,0.87,0.33,0.73,0.93,0.00,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,21,1997,23.1,0.95,0.52,0.43,0.39,0.13,0.30,1.13,26.9,0.82,14.2,3.72,26.2,2.99,6.67,4.55,1.00,0.17,0.00,0.82,0.26,1.21,0.30,0.04,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,36.0,2.33,1.39,1.58,0.64,0.11,0.89,2.19,40.5,1.31,11.4,3.69,32.4,7.22,3.25,0.92,1.58,0.53,0.03,1.06,1.11,3.44,7.33,0.06,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,10.0,50.0,5.00,10.0,0.00,45.0,5.00,5.00,0.00,0.00,5.00,0.00,0.00,5.00,5.00,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,0.74,0.37,0.74,0.00,0.00,0.00,0.74,0.0,0.74,26.7,6.30,23.6,1.85,12.6,12.2,1.48,0.74,0.00,0.74,0.00,0.74,0.37,0.00,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,34.0,2.06,1.12,1.38,0.47,0.21,0.94,2.15,43.8,1.21,9.44,3.00,31.8,6.06,3.00,0.38,1.79,0.76,0.00,1.03,1.29,3.35,9.68,0.12,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,12.9,1.78,1.24,0.93,0.54,0.31,0.70,2.40,29.0,1.71,14.2,3.57,25.1,5.50,6.74,1.94,2.17,0.31,0.00,1.86,0.78,2.56,2.64,0.00,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,0.60,0.45,0.60,0.00,0.00,0.30,1.04,28.6,0.75,9.10,2.24,24.6,6.12,2.84,0.15,2.24,1.04,0.00,1.19,0.90,1.49,6.72,0.15,Matches
44,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,3.7,1.35,0.54,0.54,0.81,0.00,1.08,1.62,66.7,0.54,9.46,1.89,20.0,3.78,5.14,0.54,0.81,0.27,0.00,0.54,0.81,2.16,4.05,0.00,Matches
45,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,8.3,3.61,2.77,2.41,1.20,0.00,1.08,3.01,36.0,1.93,21.3,7.23,33.9,8.67,11.4,1.20,1.69,0.24,0.00,1.45,1.20,4.82,1.45,0.00,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,14.0,0.64,0.36,0.00,0.43,0.21,0.07,0.57,12.5,0.50,12.7,3.50,27.5,0.29,5.00,7.43,1.00,0.43,0.00,0.57,0.43,1.07,1.79,0.00,Matches
47,Jóhann Berg Gu?mundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,6.9,1.01,0.43,0.29,0.14,0.58,0.29,1.30,22.2,1.01,15.2,2.75,18.1,4.93,5.07,5.22,1.45,0.14,0.00,1.30,0.58,1.59,1.16,0.00,Matches
48,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,10.5,2.48,1.62,0.48,1.43,0.57,0.57,1.43,40.0,0.86,23.7,6.10,25.7,5.14,12.5,6.10,2.67,0.10,0.00,2.57,0.29,2.76,1.52,0.00,Matches
49,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,7.8,0.64,0.51,0.13,0.38,0.13,0.26,1.28,20.0,1.03,15.0,4.36,29.1,3.33,8.72,2.95,1.41,0.00,0.00,1.41,0.64,1.28,0.90,0.00,Matches
50,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,14.2,1.76,0.99,0.63,0.70,0.42,0.42,2.82,15.0,2.39,19.1,4.86,25.5,4.58,10.0,4.51,2.11,0.14,0.00,1.97,1.06,2.82,0.56,0.00,Matches
51,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,7.5,3.73,2.13,1.87,0.67,1.20,1.60,2.53,63.2,0.93,17.2,5.87,34.1,7.47,6.40,3.33,2.13,0.40,0.00,1.73,0.67,4.40,3.33,0.00,Matches
52,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,30.5,1.57,0.92,0.66,0.62,0.30,0.62,1.80,34.5,1.18,12.6,4.66,36.9,4.56,5.31,2.75,1.70,0.43,0.00,1.28,0.85,2.43,2.49,0.03,Matches
53,Muhamed Bešiæ\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.8,3.21,2.14,2.14,1.07,0.00,0.71,2.14,33.3,1.43,25.4,6.07,23.9,10.4,11.8,3.21,1.43,0.00,0.00,1.43,0.71,3.93,1.79,0.00,Matches
54,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,28.1,2.70,1.64,1.03,1.39,0.28,0.60,2.38,25.4,1.78,24.6,5.84,23.7,7.51,13.5,3.59,3.13,0.60,0.00,2.53,1.39,4.09,4.16,0.04,Matches
55,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,14.0,4.14,2.57,2.50,1.43,0.21,1.29,2.71,47.4,1.43,22.0,6.43,29.2,9.00,10.2,2.79,2.00,0.29,0.00,1.71,1.14,5.29,1.57,0.00,Matches
56,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,28,1991,22.0,2.77,1.82,1.91,0.82,0.05,1.05,2.18,47.9,1.14,12.3,4.59,37.3,8.23,3.91,0.18,2.27,0.73,0.00,1.55,0.95,3.73,6.18,0.09,Matches
57,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,17.1,10.0,58.3,8.57,5.71,2.86,2.86,1.43,0.00,1.43,0.00,0.00,0.00,0.00,Matches
58,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,8.5,2.47,1.41,1.18,0.94,0.35,0.35,1.53,23.1,1.18,25.6,8.35,32.6,6.35,11.1,8.24,2.00,0.00,0.00,2.00,0.59,3.06,0.24,0.00,Matches
