Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
238,Timm Klose\Timm-Klose,ch SUI,DF,Norwich City,31,1988,6.5,0.00,0.46,0.00,0.0,0.46,0.00,0.00,,10.0,0.00,0.00,0.00,0.06,0.06,0.13,-0.06,-0.06,Matches
239,Jonathan Kodjia\Jonathan-Kodjia,ci CIV,FWMF,Aston Villa,29,1989,1.3,0.00,1.54,0.00,0.0,1.54,0.00,0.00,,19.6,0.00,0.00,0.00,0.08,0.08,0.03,-0.08,-0.08,Matches
240,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,26,1993,18.9,0.00,0.21,0.00,0.0,0.21,0.00,0.00,,12.5,0.00,0.00,0.00,0.04,0.04,0.17,-0.04,-0.04,Matches
241,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,21,1997,22.7,0.04,0.48,0.18,36.4,0.49,0.18,0.09,0.25,11.7,0.00,0.00,0.00,0.07,0.07,0.14,-0.03,-0.03,Matches
242,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MFDF,Crystal Palace,29,1989,28.1,0.04,0.82,0.18,21.7,0.82,0.18,0.04,0.20,11.2,0.00,0.00,0.00,0.06,0.06,0.08,-0.03,-0.03,Matches
243,Mateo Kovaèiæ\Mateo-Kovacic,hr CRO,MF,Chelsea,25,1994,23.0,0.04,0.91,0.22,23.8,0.91,0.22,0.05,0.20,19.3,0.00,0.00,0.00,0.06,0.06,0.07,-0.02,-0.02,Matches
244,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,24,1994,11.3,0.00,0.35,0.00,0.0,0.35,0.00,0.00,,13.2,0.00,0.00,0.00,0.03,0.03,0.07,-0.03,-0.03,Matches
245,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,36.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
246,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,28,1991,20.8,0.48,2.55,1.25,49.1,2.55,1.25,0.19,0.38,11.9,0.14,0.00,0.00,0.41,0.41,0.16,0.07,0.07,Matches
247,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,31,1988,4.2,0.24,1.19,0.24,20.0,1.18,0.24,0.20,1.00,15.3,0.00,0.00,0.00,0.26,0.26,0.21,-0.02,-0.02,Matches
248,Érik Lamela\Erik-Lamela,ar ARG,MFFW,Tottenham,27,1992,13.5,0.15,2.15,0.59,27.6,2.15,0.59,0.07,0.25,18.5,0.30,0.00,0.00,0.20,0.20,0.10,-0.05,-0.05,Matches
249,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Chelsea,18,2000,0.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
250,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,18,2000,6.5,0.00,0.31,0.00,0.0,0.31,0.00,0.00,,24.4,0.00,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
251,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,28,1990,2.2,0.00,0.91,0.00,0.0,0.92,0.00,0.00,,19.0,0.00,0.00,0.00,0.05,0.05,0.05,-0.05,-0.05,Matches
252,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,26,1993,15.3,0.00,1.50,0.46,30.4,1.50,0.46,0.00,0.00,18.1,0.20,0.00,0.00,0.13,0.13,0.09,-0.13,-0.13,Matches
253,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,25,1994,12.2,0.08,0.33,0.08,25.0,0.33,0.08,0.25,1.00,16.4,0.00,0.00,0.00,0.02,0.02,0.08,0.06,0.06,Matches
254,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,25,1993,23.1,0.04,0.39,0.09,22.2,0.39,0.09,0.11,0.50,13.1,0.00,0.00,0.00,0.01,0.01,0.03,0.03,0.03,Matches
255,Valentino Lazaro\Valentino-Lazaro,at AUT,DFMF,Newcastle Utd,23,1996,5.3,0.19,0.75,0.19,25.0,0.75,0.19,0.25,1.00,20.7,0.00,0.00,0.00,0.09,0.09,0.13,0.09,0.09,Matches
256,Moritz Leitner\Moritz-Leitner,de GER,MF,Norwich City,26,1992,7.6,0.00,1.05,0.00,0.0,1.05,0.00,0.00,,22.0,0.00,0.00,0.00,0.03,0.03,0.03,-0.03,-0.03,Matches
257,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,28,1991,4.9,0.41,0.82,0.61,75.0,0.81,0.61,0.50,0.67,16.0,0.00,0.00,0.00,0.12,0.12,0.14,0.29,0.29,Matches
258,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,32,1987,5.5,0.00,0.18,0.00,0.0,0.18,0.00,0.00,,17.7,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
259,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,29.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
260,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,24,1994,30.0,0.03,1.00,0.07,6.7,1.00,0.07,0.03,0.50,23.3,0.00,0.00,0.00,0.04,0.04,0.04,-0.01,-0.01,Matches
261,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Norwich City,21,1998,25.6,0.04,0.35,0.16,44.4,0.35,0.16,0.11,0.25,22.6,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.02,Matches
262,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,25,1994,34.4,0.03,0.17,0.03,16.7,0.17,0.03,0.17,1.00,10.8,0.00,0.00,0.00,0.01,0.01,0.07,0.02,0.02,Matches
263,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,26,1992,10.4,0.10,2.12,0.58,27.3,2.12,0.58,0.05,0.17,17.9,0.00,0.00,0.00,0.26,0.26,0.12,-0.16,-0.16,Matches
264,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,32,1986,20.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
265,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,23,1996,16.6,0.00,1.08,0.18,16.7,1.09,0.18,0.00,0.00,20.6,0.06,0.00,0.00,0.07,0.07,0.07,-0.07,-0.07,Matches
266,Jürgen Locadia\Jurgen-Locadia,nl NED,MFFW,Brighton,25,1993,1.0,0.00,2.00,1.00,50.0,2.09,1.05,0.00,0.00,9.7,0.00,0.00,0.00,0.30,0.30,0.17,-0.30,-0.30,Matches
267,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Chelsea,23,1996,2.3,0.00,1.74,0.00,0.0,1.73,0.00,0.00,,9.1,0.00,0.00,0.00,0.22,0.22,0.13,-0.22,-0.22,Matches
268,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,28,1990,6.3,0.00,0.32,0.00,0.0,0.32,0.00,0.00,,10.5,0.00,0.00,0.00,0.03,0.03,0.09,-0.03,-0.03,Matches
269,Shane Long\Shane-Long,ie IRL,FW,Southampton,32,1987,15.5,0.13,2.13,0.84,39.4,2.13,0.84,0.06,0.15,10.9,0.00,0.00,0.00,0.31,0.31,0.14,-0.18,-0.18,Matches
270,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,19,2000,6.4,0.31,0.63,0.31,50.0,0.63,0.31,0.50,1.00,19.4,0.00,0.00,0.00,0.06,0.06,0.11,0.25,0.25,Matches
271,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,21,1997,15.3,0.07,1.70,0.39,23.1,1.70,0.39,0.04,0.17,24.0,0.20,0.00,0.00,0.06,0.06,0.04,0.01,0.01,Matches
272,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,30,1989,8.6,0.00,0.58,0.12,20.0,0.58,0.12,0.00,0.00,8.0,0.00,0.00,0.00,0.03,0.03,0.06,-0.03,-0.03,Matches
273,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,30,1989,17.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
274,David Luiz\David-Luiz,br BRA,DF,Arsenal,32,1987,31.2,0.06,0.74,0.22,30.4,0.74,0.22,0.09,0.29,20.1,0.22,0.00,0.00,0.06,0.06,0.08,0.00,0.00,Matches
275,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,21,1998,29.0,0.10,1.34,0.41,30.8,1.34,0.41,0.08,0.25,22.9,0.10,0.00,0.00,0.08,0.08,0.06,0.02,0.02,Matches
276,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,25,1994,27.3,0.18,1.61,0.40,25.0,1.61,0.40,0.11,0.45,16.9,0.00,0.00,0.00,0.19,0.19,0.12,-0.01,-0.01,Matches
277,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,20,1998,3.9,0.00,1.79,0.26,14.3,1.79,0.26,0.00,0.00,22.2,0.26,0.00,0.00,0.10,0.10,0.05,-0.10,-0.10,Matches
278,James Maddison\James-Maddison,eng ENG,MF,Leicester City,22,1996,29.2,0.21,2.53,0.62,24.3,2.54,0.62,0.08,0.33,20.9,0.48,0.00,0.00,0.17,0.17,0.07,0.04,0.04,Matches
279,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,26,1993,38.0,0.03,0.84,0.21,25.0,0.84,0.21,0.03,0.13,11.7,0.00,0.00,0.00,0.05,0.05,0.06,-0.03,-0.03,Matches
280,Riyad Mahrez\Riyad-Mahrez,dz ALG,FW,Manchester City,28,1991,21.6,0.51,3.38,1.39,41.1,3.38,1.39,0.14,0.33,16.5,0.28,0.05,0.05,0.33,0.30,0.09,0.18,0.17,Matches
281,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,21,1997,15.4,0.00,0.26,0.06,25.0,0.26,0.06,0.00,0.00,18.2,0.00,0.00,0.00,0.02,0.02,0.08,-0.02,-0.02,Matches
282,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,27,1992,30.5,0.59,2.49,1.18,47.4,2.49,1.18,0.24,0.50,13.0,0.00,0.00,0.00,0.45,0.45,0.19,0.14,0.14,Matches
283,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,25,1994,17.8,0.00,0.06,0.00,0.0,0.06,0.00,0.00,,12.2,0.00,0.00,0.00,0.01,0.01,0.05,-0.01,-0.01,Matches
284,Solly March\Solly-March,eng ENG,DFFW,Brighton,25,1994,12.7,0.00,1.65,0.63,38.1,1.65,0.63,0.00,0.00,18.5,0.08,0.00,0.00,0.11,0.11,0.07,-0.11,-0.11,Matches
285,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,25,1993,1.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
286,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,32,1986,16.8,0.00,0.18,0.00,0.0,0.18,0.00,0.00,,8.4,0.00,0.00,0.00,0.02,0.02,0.08,-0.02,-0.02,Matches
287,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,23,1995,29.2,0.58,2.71,1.30,48.1,2.71,1.30,0.22,0.45,15.8,0.00,0.00,0.03,0.37,0.35,0.13,0.21,0.24,Matches
288,David Martin\David-Martin,eng ENG,GK,West Ham,33,1986,4.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
289,Josh Martin\Josh-Martin,eng ENG,FW,Norwich City,17,2001,0.4,0.00,2.50,2.50,100.0,2.43,2.43,0.00,0.00,13.0,0.00,0.00,0.00,0.75,0.75,0.31,-0.75,-0.75,Matches
290,Martinelli\Martinelli,br BRA,FW,Arsenal,18,2001,7.4,0.41,1.62,0.68,41.7,1.63,0.68,0.25,0.60,13.2,0.00,0.00,0.00,0.31,0.31,0.19,0.09,0.09,Matches
291,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Arsenal,26,1992,8.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
292,Adam Masina\Adam-Masina,it ITA,DF,Watford,25,1994,20.2,0.05,0.74,0.15,20.0,0.74,0.15,0.07,0.33,20.8,0.05,0.00,0.00,0.03,0.03,0.05,0.01,0.01,Matches
293,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,25,1993,10.4,0.00,0.48,0.19,40.0,0.48,0.19,0.00,0.00,29.2,0.00,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches
294,Juan Mata\Juan-Mata,es ESP,MFFW,Manchester Utd,31,1988,8.4,0.00,1.07,0.12,11.1,1.07,0.12,0.00,0.00,17.8,0.24,0.00,0.00,0.13,0.13,0.13,-0.13,-0.13,Matches
295,Nemanja Matiæ\Nemanja-Matic,rs SRB,MF,Manchester Utd,30,1988,17.6,0.00,0.40,0.11,28.6,0.40,0.11,0.00,0.00,25.3,0.00,0.00,0.00,0.01,0.01,0.04,-0.01,-0.01,Matches
296,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,27,1991,7.8,0.13,0.51,0.13,25.0,0.51,0.13,0.25,1.00,9.3,0.00,0.00,0.00,0.04,0.04,0.08,0.09,0.09,Matches
297,Neal Maupay\Neal-Maupay,fr FRA,FW,Brighton,22,1996,30.7,0.33,2.93,1.11,37.8,2.93,1.11,0.10,0.26,14.6,0.00,0.03,0.07,0.38,0.33,0.11,-0.05,-0.04,Matches
298,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,31,1987,34.3,0.00,0.85,0.17,20.7,0.84,0.17,0.00,0.00,17.9,0.00,0.00,0.00,0.07,0.07,0.08,-0.07,-0.07,Matches
299,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Sheffield Utd,23,1996,23.5,0.26,2.09,1.02,49.0,2.09,1.02,0.12,0.25,9.2,0.00,0.00,0.00,0.33,0.33,0.16,-0.07,-0.07,Matches
300,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,29,1989,28.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
301,James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,28,1990,18.7,0.00,0.59,0.16,27.3,0.59,0.16,0.00,0.00,22.5,0.00,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
302,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,24,1994,25.7,0.12,2.14,0.74,34.5,2.14,0.74,0.05,0.16,20.5,0.00,0.00,0.00,0.15,0.15,0.07,-0.03,-0.03,Matches
303,David McGoldrick\David-McGoldrick,ie IRL,FW,Sheffield Utd,31,1987,20.2,0.10,2.28,0.94,41.3,2.28,0.94,0.04,0.11,14.3,0.00,0.00,0.00,0.34,0.34,0.15,-0.24,-0.24,Matches
304,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,35,1984,1.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
305,Kenny McLean\Kenny-McLean,sco SCO,MF,Norwich City,27,1992,33.0,0.03,0.91,0.30,33.3,0.91,0.30,0.03,0.10,20.7,0.06,0.00,0.00,0.05,0.05,0.05,-0.02,-0.02,Matches
306,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,19,1999,37.1,0.05,1.29,0.38,29.2,1.29,0.38,0.04,0.14,23.5,0.27,0.00,0.00,0.06,0.06,0.04,-0.00,-0.00,Matches
307,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,22,1996,19.7,0.20,1.52,0.51,33.3,1.52,0.51,0.13,0.40,19.8,0.00,0.00,0.00,0.08,0.08,0.05,0.13,0.13,Matches
308,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,29,1989,32.0,0.03,0.56,0.16,27.8,0.56,0.16,0.06,0.20,7.6,0.00,0.00,0.00,0.05,0.05,0.10,-0.02,-0.02,Matches
309,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,25,1994,16.6,0.00,0.60,0.06,10.0,0.60,0.06,0.00,0.00,22.1,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
310,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,27,1992,3.2,0.00,0.31,0.31,100.0,0.31,0.31,0.00,0.00,26.2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
311,Chris Mepham\Chris-Mepham,wal WAL,DF,Bournemouth,21,1997,10.1,0.10,0.59,0.10,16.7,0.59,0.10,0.17,1.00,8.6,0.00,0.00,0.00,0.07,0.07,0.11,0.03,0.03,Matches
312,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,23,1995,7.3,0.00,1.23,0.27,22.2,1.24,0.27,0.00,0.00,17.0,0.00,0.00,0.00,0.08,0.08,0.07,-0.08,-0.08,Matches
313,Luka Milivojeviæ\Luka-Milivojevic,rs SRB,MF,Crystal Palace,28,1991,27.9,0.11,1.04,0.25,24.1,1.04,0.25,0.03,0.14,26.9,0.39,0.07,0.07,0.09,0.04,0.03,0.02,0.00,Matches
314,James Milner\James-Milner,eng ENG,MFDF,Liverpool,33,1986,10.4,0.19,0.96,0.10,10.0,0.96,0.10,0.00,0.00,22.3,0.00,0.19,0.19,0.20,0.06,0.06,-0.01,-0.06,Matches
315,Yerry Mina\Yerry-Mina,co COL,DF,Everton,24,1994,25.4,0.08,1.18,0.39,33.3,1.18,0.39,0.07,0.20,9.6,0.00,0.00,0.00,0.10,0.10,0.08,-0.02,-0.02,Matches
316,Takumi Minamino\Takumi-Minamino,jp JPN,FWMF,Liverpool,24,1995,2.8,0.00,3.21,0.71,22.2,3.25,0.72,0.00,0.00,18.1,0.00,0.00,0.00,0.50,0.50,0.16,-0.50,-0.50,Matches
317,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,26,1993,32.2,0.06,0.28,0.12,44.4,0.28,0.12,0.22,0.50,9.0,0.00,0.00,0.00,0.03,0.03,0.12,0.03,0.03,Matches
318,Tyrick Mitchell\Tyrick-Mitchell,eng ENG,DF,Crystal Palace,19,1999,2.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
319,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FW,Arsenal,30,1989,1.2,0.00,1.67,0.00,0.0,1.61,0.00,0.00,,14.6,0.00,0.00,0.00,0.25,0.25,0.13,-0.25,-0.25,Matches
320,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,33,1986,3.0,0.00,0.33,0.00,0.0,0.33,0.00,0.00,,9.2,0.00,0.00,0.00,0.03,0.03,0.10,-0.03,-0.03,Matches
321,Martín Montoya\Martin-Montoya,es ESP,DF,Brighton,28,1991,21.1,0.00,0.38,0.14,37.5,0.38,0.14,0.00,0.00,16.6,0.00,0.00,0.00,0.06,0.06,0.16,-0.06,-0.06,Matches
322,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,29,1990,2.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
323,Aaron Mooy\Aaron-Mooy,au AUS,MFFW,Brighton,28,1990,23.2,0.09,1.42,0.34,24.2,1.42,0.35,0.06,0.25,19.8,0.00,0.00,0.00,0.09,0.09,0.06,0.00,0.00,Matches
324,Wesley Moraes\Wesley-Moraes,br BRA,FW,Aston Villa,22,1996,19.8,0.25,1.77,0.86,48.6,1.77,0.86,0.14,0.29,11.6,0.00,0.00,0.05,0.25,0.21,0.12,0.00,0.04,Matches
325,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,35,1984,4.8,0.00,0.63,0.21,33.3,0.62,0.21,0.00,0.00,10.3,0.00,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
326,Ravel Morrison\Ravel-Morrison,jm JAM,MF,Sheffield Utd,26,1993,0.1,0.00,10.0,0.00,0.0,6.92,0.00,0.00,,19.1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
327,Mason Mount\Mason-Mount,eng ENG,MFFW,Chelsea,20,1999,31.9,0.22,2.45,0.91,37.2,2.45,0.91,0.09,0.24,20.3,0.38,0.00,0.00,0.23,0.23,0.09,-0.01,-0.01,Matches
328,Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,26,1992,24.9,0.16,2.25,0.52,23.2,2.25,0.52,0.07,0.31,16.8,0.00,0.00,0.00,0.24,0.24,0.11,-0.08,-0.08,Matches
329,Lys Mousset\Lys-Mousset,fr FRA,FW,Sheffield Utd,23,1996,13.8,0.43,2.54,0.65,25.7,2.54,0.65,0.17,0.67,15.9,0.00,0.00,0.00,0.36,0.36,0.14,0.08,0.08,Matches
330,Jo?o Moutinho\Joao-Moutinho,pt POR,MF,Wolves,32,1986,34.5,0.03,0.64,0.17,27.3,0.64,0.17,0.05,0.17,23.7,0.12,0.00,0.00,0.02,0.02,0.04,0.01,0.01,Matches
331,Glenn Murray\Glenn-Murray,eng ENG,FW,Brighton,35,1983,8.9,0.11,1.91,0.45,23.5,1.92,0.45,0.06,0.25,13.8,0.00,0.00,0.00,0.24,0.24,0.13,-0.12,-0.12,Matches
332,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,27,1992,13.4,0.00,0.82,0.22,27.3,0.82,0.22,0.00,0.00,8.7,0.00,0.00,0.00,0.06,0.06,0.07,-0.06,-0.06,Matches
333,Yoshinori Mut?\Yoshinori-Muto,jp JPN,FWMF,Newcastle Utd,27,1992,2.4,0.00,0.42,0.00,0.0,0.42,0.00,0.00,,8.3,0.00,0.00,0.00,0.04,0.04,0.09,-0.04,-0.04,Matches
334,Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,fr FRA,FW,Tottenham,24,1995,0.0,0,1,0,0.0,30.00,0.00,0.00,,20.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
335,Marvelous Nakamba\Marvelous-Nakamba,zw ZIM,MF,Aston Villa,25,1994,20.4,0.00,0.34,0.05,14.3,0.34,0.05,0.00,0.00,28.2,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
336,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MF,Leicester City,22,1996,29.7,0.07,0.91,0.07,7.4,0.91,0.07,0.07,1.00,17.8,0.00,0.00,0.00,0.06,0.06,0.07,0.00,0.00,Matches
337,Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Tottenham,22,1996,11.2,0.18,0.80,0.36,44.4,0.80,0.36,0.22,0.50,25.4,0.00,0.00,0.00,0.04,0.04,0.05,0.14,0.14,Matches
338,Reiss Nelson\Reiss-Nelson,eng ENG,FW,Arsenal,19,1999,7.0,0.14,1.57,0.57,36.4,1.57,0.57,0.09,0.25,16.8,0.00,0.00,0.00,0.13,0.13,0.08,0.01,0.01,Matches
339,Pedro Neto\Pedro-Neto,pt POR,FWMF,Wolves,19,2000,10.4,0.29,1.63,0.58,35.3,1.63,0.58,0.18,0.50,16.4,0.00,0.00,0.00,0.19,0.19,0.12,0.10,0.10,Matches
340,Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,22,1997,34.0,0.06,1.82,0.29,16.1,1.83,0.29,0.03,0.20,27.0,0.21,0.00,0.00,0.05,0.05,0.03,0.01,0.01,Matches
341,Jeremy Ngakia\Jeremy-Ngakia,eng ENG,DF,West Ham,18,2000,4.9,0.00,0.20,0.20,100.0,0.20,0.20,0.00,0.00,25.0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
342,Oumar Niasse\Oumar-Niasse,sn SEN,FW,Everton,29,1990,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
343,Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,Arsenal,20,1999,7.0,0.29,2.14,0.71,33.3,2.13,0.71,0.13,0.40,12.3,0.00,0.00,0.00,0.44,0.44,0.21,-0.16,-0.16,Matches
344,Mark Noble\Mark-Noble,eng ENG,MF,West Ham,32,1987,29.7,0.13,0.47,0.10,21.4,0.47,0.10,0.07,0.33,22.1,0.00,0.10,0.10,0.09,0.02,0.04,0.04,0.02,Matches
345,Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,28,1991,34.3,0.03,0.47,0.15,31.3,0.47,0.15,0.00,0.00,26.4,0.12,0.03,0.03,0.04,0.02,0.04,-0.01,-0.02,Matches
346,?rjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,28,1990,6.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
347,Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,25,1994,32.4,0.00,0.49,0.06,12.5,0.49,0.06,0.00,0.00,9.2,0.00,0.00,0.00,0.04,0.04,0.08,-0.04,-0.04,Matches
348,Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,19,2000,7.4,0.41,1.62,0.54,33.3,1.62,0.54,0.25,0.75,14.3,0.00,0.00,0.00,0.26,0.26,0.16,0.15,0.15,Matches
349,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,31,1988,31.0,0.06,0.45,0.13,28.6,0.45,0.13,0.14,0.50,9.8,0.00,0.00,0.00,0.05,0.05,0.10,0.02,0.02,Matches
350,Divock Origi\Divock-Origi,be BEL,FW,Liverpool,24,1995,8.0,0.50,1.75,0.75,42.9,1.76,0.75,0.29,0.67,15.9,0.00,0.00,0.00,0.28,0.28,0.16,0.23,0.23,Matches
351,Ben Osborn\Ben-Osborn,eng ENG,MFDF,Sheffield Utd,24,1994,6.6,0.00,0.45,0.15,33.3,0.45,0.15,0.00,0.00,12.3,0.00,0.00,0.00,0.05,0.05,0.11,-0.05,-0.05,Matches
352,Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,31,1988,19.1,0.10,0.79,0.37,46.7,0.79,0.37,0.13,0.29,6.8,0.00,0.00,0.00,0.13,0.13,0.16,-0.02,-0.02,Matches
353,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,25,1993,16.5,0.24,2.42,0.61,25.0,2.42,0.61,0.10,0.40,22.0,0.00,0.00,0.00,0.18,0.18,0.07,0.07,0.07,Matches
354,Mesut Özil\Mesut-Ozil,de GER,MF,Arsenal,30,1988,16.0,0.06,0.56,0.19,33.3,0.56,0.19,0.11,0.33,12.8,0.00,0.00,0.00,0.08,0.08,0.15,-0.02,-0.02,Matches
355,Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,24,1994,11.4,0.00,1.14,0.61,53.8,1.14,0.62,0.00,0.00,19.9,0.09,0.00,0.00,0.09,0.09,0.07,-0.09,-0.09,Matches
356,Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Arsenal,31,1988,18.8,0.11,0.37,0.11,28.6,0.37,0.11,0.29,1.00,8.7,0.00,0.00,0.00,0.05,0.05,0.14,0.05,0.05,Matches
