Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
71,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,29.2,0.45,2.84,1.27,44.6,2.84,1.27,0.16,0.35,12.2,0.00,0.00,0.00,0.49,0.49,0.17,-0.04,-0.04,Matches
72,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
73,Jo?o Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,13.4,0.00,1.12,0.30,26.7,1.12,0.30,0.00,0.00,23.8,0.00,0.00,0.00,0.04,0.04,0.03,-0.04,-0.04,Matches
74,Todd Cantwell\Todd-Cantwell,eng ENG,FWMF,Norwich City,21,1998,27.7,0.22,1.52,0.58,38.1,1.52,0.58,0.14,0.38,15.7,0.00,0.00,0.00,0.21,0.21,0.14,0.01,0.01,Matches
75,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,29.2,0.00,0.65,0.03,5.3,0.65,0.03,0.00,0.00,26.6,0.07,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches
76,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,7.0,0.00,2.14,0.43,20.0,2.14,0.43,0.00,0.00,13.8,0.00,0.00,0.00,0.13,0.13,0.06,-0.13,-0.13,Matches
77,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,32.1,0.06,0.53,0.16,29.4,0.53,0.16,0.12,0.40,17.9,0.00,0.00,0.00,0.04,0.04,0.08,0.02,0.02,Matches
78,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,27.6,0.00,0.07,0.04,50.0,0.07,0.04,0.00,0.00,8.0,0.00,0.00,0.00,0.01,0.01,0.15,-0.01,-0.01,Matches
79,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,18.8,0.00,0.69,0.16,23.1,0.69,0.16,0.00,0.00,21.6,0.00,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches
80,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,10.3,0.00,0.87,0.00,0.0,0.87,0.00,0.00,,21.6,0.19,0.00,0.00,0.04,0.04,0.05,-0.04,-0.04,Matches
81,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,12.2,0.08,0.98,0.16,16.7,0.98,0.16,0.08,0.50,11.6,0.00,0.00,0.00,0.06,0.06,0.06,0.02,0.02,Matches
82,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,0.11,0.57,0.23,40.0,0.57,0.23,0.20,0.50,18.1,0.00,0.00,0.00,0.04,0.04,0.07,0.08,0.08,Matches
83,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,0.4,0.00,2.50,0.00,0.0,2.43,0.00,0.00,,12.8,0.00,0.00,0.00,0.25,0.25,0.06,-0.25,-0.25,Matches
84,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,9.9,0.10,0.71,0.20,28.6,0.71,0.20,0.14,0.50,16.1,0.00,0.00,0.00,0.05,0.05,0.07,0.05,0.05,Matches
85,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,19.5,0.00,0.36,0.10,28.6,0.36,0.10,0.00,0.00,11.2,0.00,0.00,0.00,0.04,0.04,0.11,-0.04,-0.04,Matches
86,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,0.15,0.45,0.30,66.7,0.46,0.30,0.33,0.50,8.2,0.00,0.00,0.00,0.10,0.10,0.22,0.05,0.05,Matches
87,Leon Clarke\Leon-Clarke,eng ENG,FWMF,Sheffield Utd,34,1985,0.4,0.00,2.50,0.00,0.0,2.57,0.00,0.00,,9.0,0.00,0.00,0.00,0.75,0.75,0.33,-0.75,-0.75,Matches
88,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,10.8,0.09,1.57,0.46,29.4,1.58,0.46,0.06,0.20,16.9,0.00,0.00,0.00,0.15,0.15,0.09,-0.06,-0.06,Matches
