Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,35.7,33.4,2.24,0.45,0.00,6.12,1.19,0.45,0.00,0.00,0.00,0.00,20.0,3.88,11.8,2.09,26.9,2.54,1.79,0.30,27.6,0.15,0.75,0.45,0.15,Matches
44,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,3.7,59.7,54.1,5.68,0.27,0.00,8.38,1.35,0.27,0.00,0.00,0.00,0.00,34.6,7.03,18.1,5.68,43.8,2.97,5.41,0.27,47.0,0.00,1.62,0.54,1.08,Matches
45,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,8.3,48.7,47.2,1.45,1.45,0.00,7.59,2.29,0.24,0.00,0.00,0.00,0.00,35.2,6.87,6.63,37.1,7.23,2.17,0.00,0.36,41.8,0.12,1.08,0.96,0.84,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,14.0,23.3,22.4,0.93,0.00,0.14,10.4,0.36,0.57,0.00,0.00,0.00,0.00,10.2,6.07,7.00,1.50,11.8,2.64,0.00,0.64,13.6,0.00,0.36,0.79,1.00,Matches
47,Jóhann Berg Gu?mundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,6.9,27.8,26.8,1.01,0.00,0.00,5.80,2.32,3.91,0.87,0.87,0.00,0.00,14.3,4.78,8.70,21.9,4.06,1.30,0.14,0.00,19.1,0.00,0.43,0.14,0.72,Matches
48,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,10.5,36.8,35.9,0.86,0.57,0.00,10.1,0.86,1.52,0.00,0.00,0.00,0.00,25.0,6.48,5.33,3.43,28.8,1.81,0.29,0.19,28.4,0.00,1.14,0.38,1.33,Matches
49,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,7.8,33.2,31.7,1.54,0.51,0.00,8.72,0.26,1.15,0.38,0.26,0.00,0.00,22.8,6.41,3.97,1.41,28.7,1.41,0.26,0.64,28.8,0.00,0.64,0.26,0.38,Matches
50,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,14.2,40.4,39.4,0.99,0.14,0.28,8.17,0.85,2.11,0.42,0.35,0.00,0.00,29.5,5.42,5.42,10.4,28.7,0.77,0.07,0.28,30.0,0.00,0.99,1.06,2.18,Matches
51,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,7.5,51.1,44.3,6.80,0.13,0.00,10.8,0.13,1.87,0.00,0.00,0.00,0.00,26.5,12.3,12.3,33.9,4.27,3.33,6.67,0.27,38.1,0.00,1.60,1.20,1.87,Matches
52,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,30.5,54.3,40.6,13.7,1.57,0.00,8.43,1.48,2.66,0.82,0.23,0.33,0.23,27.3,11.1,15.9,35.5,2.89,3.05,11.3,0.20,40.8,0.20,0.95,0.95,2.00,Matches
53,Muhamed Bešiæ\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.8,37.9,37.1,0.71,0.71,0.00,8.57,1.79,0.36,0.00,0.00,0.00,0.00,24.6,7.14,6.07,5.00,28.6,2.86,0.00,0.00,30.7,0.00,0.00,1.07,1.79,Matches
54,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,28.1,42.0,39.9,2.10,0.71,0.14,10.1,0.71,0.64,0.00,0.00,0.00,0.00,24.9,7.76,9.29,29.5,4.63,3.56,1.39,0.18,31.2,0.18,1.46,0.68,1.03,Matches
55,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,14.0,44.4,43.6,0.86,0.71,0.00,7.50,1.71,0.43,0.00,0.00,0.00,0.00,30.9,7.36,6.14,3.50,38.4,1.21,0.14,0.43,37.5,0.14,0.71,0.71,0.71,Matches
56,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,28,1991,22.0,43.6,42.8,0.82,0.64,0.18,6.73,0.64,0.00,0.00,0.00,0.00,0.00,29.9,4.68,9.00,4.68,34.3,2.41,0.18,0.14,36.0,0.14,0.64,0.41,0.55,Matches
57,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,0.7,50.0,45.7,4.29,1.43,0.00,4.29,1.43,7.14,0.00,0.00,0.00,0.00,32.9,2.86,14.3,45.7,1.43,0.00,2.86,0.00,34.3,0.00,1.43,1.43,4.29,Matches
58,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,8.5,38.2,37.3,0.94,0.12,0.12,11.3,0.94,3.53,0.12,0.00,0.00,0.00,26.1,6.35,5.76,7.29,27.8,1.41,0.71,0.12,29.1,0.00,1.06,0.71,1.65,Matches
