Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,OG,Matches
403,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,38.0,0.11,0.11,0.08,0.03,0.00,0.00,0.00,0.00,0.08,0.08,0.05,0.03,0.00,0.00,0.00,0.00,0.00,Matches
404,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,22,1997,20.7,4.25,4.25,2.51,0.00,1.06,0.29,0.34,0.05,0.48,0.48,0.29,0.00,0.05,0.05,0.05,0.05,0.00,Matches
405,Romain Sa?ss\Romain-Saiss,ma MAR,DF,Wolves,29,1990,30.1,0.83,0.83,0.63,0.03,0.03,0.10,0.00,0.00,0.07,0.07,0.00,0.00,0.00,0.03,0.00,0.00,0.03,Matches
406,Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,Arsenal,17,2001,19.5,2.31,2.31,1.64,0.10,0.36,0.10,0.10,0.00,0.36,0.36,0.31,0.00,0.05,0.00,0.00,0.00,0.00,Matches
407,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,29,1990,10.3,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
408,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,27,1992,32.0,3.75,3.76,2.38,0.13,0.72,0.31,0.16,0.06,0.50,0.50,0.25,0.06,0.13,0.03,0.03,0.00,0.00,Matches
409,Mbwana Samatta\Mbwana-Samatta,tz TAN,FW,Aston Villa,26,1992,10.5,2.10,2.10,1.33,0.00,0.10,0.10,0.38,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.10,Matches
410,Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,West Ham,33,1986,1.3,0.77,0.77,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
411,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,23,1996,27.0,0.22,0.22,0.19,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
412,Leroy Sané\Leroy-Sane,de GER,FW,Manchester City,23,1996,0.1,10.0,7.50,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
413,Ismaila Sarr\Ismaila-Sarr,sn SEN,FWMF,Watford,21,1998,22.5,3.16,3.15,2.18,0.04,0.18,0.22,0.40,0.13,0.44,0.44,0.22,0.00,0.00,0.00,0.13,0.09,0.00,Matches
414,Fabian Schär\Fabian-Schar,ch SUI,DFMF,Newcastle Utd,27,1991,18.6,0.86,0.86,0.70,0.00,0.05,0.11,0.00,0.00,0.16,0.16,0.11,0.00,0.00,0.05,0.00,0.00,0.00,Matches
415,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DF,Brighton,30,1989,4.0,0.75,0.75,0.25,0.00,0.00,0.25,0.25,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.25,0.00,0.00,Matches
416,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MFDF,Crystal Palace,26,1992,11.5,1.13,1.13,0.78,0.00,0.09,0.09,0.17,0.00,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,Matches
