Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
389,Roberto\Roberto,es ESP,GK,West Ham,33,1986,7.6,14.9,30.5,48.7,586.2,468.6,2.24,2.24,100.0,4.61,4.61,100.0,7.89,23.6,33.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
390,Patrick Roberts\Patrick-Roberts,eng ENG,MFFW,Norwich City,22,1997,0.3,23.3,33.3,70.0,426.7,73.3,10.0,13.3,75.0,10.0,10.0,100.0,3.33,10.0,33.3,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,Matches
391,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,25,1994,34.6,68.5,84.6,80.9,1260.4,422.2,30.7,34.5,88.9,29.9,34.8,85.8,7.25,13.1,55.5,0.35,0.22,0.13,1.76,5.09,1.79,0.78,7.37,Matches
392,Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,24,1995,7.5,15.6,20.7,75.5,238.3,39.2,8.27,9.73,84.9,5.87,7.60,77.2,0.80,2.00,40.0,0.13,0.08,0.05,0.53,0.67,0.40,0.13,0.80,Matches
393,Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,25,1993,5.6,34.5,45.9,75.1,703.0,260.9,11.6,13.0,89.0,17.9,21.3,84.0,4.64,10.0,46.4,0.00,0.04,-0.04,0.36,3.21,0.18,0.18,2.50,Matches
394,Rodri\Rodri,es ESP,MF,Manchester City,23,1996,27.6,85.6,91.9,93.1,1761.0,388.3,29.3,31.3,93.7,40.9,42.6,96.0,14.7,16.6,88.4,0.07,0.05,0.02,1.16,8.33,0.76,0.04,5.98,Matches
395,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,30,1989,22.4,15.4,22.1,69.7,203.8,39.3,10.6,13.5,78.8,2.95,4.64,63.5,0.80,1.74,46.2,0.04,0.04,0.00,0.31,0.89,0.27,0.00,1.21,Matches
396,Jack Rodwell\Jack-Rodwell,eng ENG,MF,Sheffield Utd,28,1991,0.2,10.0,10.0,100.0,200.0,20.0,5.00,5.00,100.0,5.00,5.00,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
397,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,29,1990,1.4,26.4,39.3,67.3,533.6,230.7,7.86,8.57,91.7,14.3,17.9,80.0,4.29,12.1,35.3,0.00,0.00,0.00,0.00,2.14,0.00,0.00,3.57,Matches
398,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,27,1991,20.7,41.8,50.1,83.4,793.4,193.6,16.1,18.4,87.9,20.0,22.8,88.1,4.98,7.78,64.0,0.00,0.06,-0.06,0.82,4.01,0.77,0.14,4.20,Matches
399,Danny Rose\Danny-Rose,eng ENG,DF,Tottenham,29,1990,9.9,43.9,57.8,76.0,774.3,322.0,19.0,21.8,87.0,21.1,26.5,79.8,3.33,7.37,45.2,0.00,0.07,-0.07,1.01,3.43,1.21,0.40,5.25,Matches
400,Danny Rose\Danny-Rose,eng ENG,DF,Newcastle Utd,29,1990,9.6,33.9,43.6,77.6,584.2,222.8,15.8,16.9,93.8,14.9,18.2,81.7,2.50,6.56,38.1,0.00,0.02,-0.02,0.31,2.29,0.42,0.10,2.50,Matches
401,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,26,1993,19.0,66.9,76.3,87.8,1596.7,438.1,13.5,14.9,90.5,37.7,39.6,95.2,15.3,20.8,73.5,0.00,0.02,-0.02,0.21,6.26,0.32,0.11,3.63,Matches
402,Lukas Rupp\Lukas-Rupp,de GER,FWMF,Norwich City,28,1991,7.7,25.5,33.8,75.4,370.0,87.0,14.4,17.1,84.1,8.70,10.6,81.7,1.17,2.99,39.1,0.00,0.10,-0.10,1.04,1.69,0.52,0.13,1.43,Matches
403,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,38.0,30.9,38.5,80.2,903.3,508.3,5.50,5.55,99.1,14.1,14.2,99.3,11.2,18.6,60.3,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,Matches
404,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,22,1997,20.7,17.2,23.7,72.7,307.9,70.2,8.16,9.86,82.8,6.91,9.18,75.3,1.84,3.24,56.7,0.19,0.17,0.02,1.64,1.21,0.72,0.24,1.98,Matches
405,Romain Sa?ss\Romain-Saiss,ma MAR,DF,Wolves,29,1990,30.1,41.6,51.2,81.3,930.3,345.6,10.2,11.4,89.5,23.2,25.9,89.7,7.94,12.7,62.6,0.03,0.02,0.02,0.23,3.95,0.30,0.00,3.82,Matches
